0,,,,,,
1,0,65.49,,,,
2,0,102.3,1,127.58,,
3,0,70.21,1,24.83,2,109.1
4,0,109.91,2,30.83,3,96.28
5,1,91.2,3,68.48,4,82.53
6,2,105.11,4,76.68,5,73.85
7,4,108.52,5,115.65,6,42.94
8,5,142.83,6,91.8,7,69.81
9,4,146.37,6,86.99,7,44.06
10,4,150.62,9,54.94,7,81.15
11,9,50.37,10,60.01,7,94.31
